gid,id,team,p_ipouts,p_bfp,p_er,p_w,p_k,p_gs,date,number,gametype
BOS201004040,sabac001,NYA,16,23,5,2,4,1,20100404,0,regular
BOS201004040,beckj002,BOS,14,24,5,3,1,1,20100404,0,regular
ANA201004050,bakes002,MIN,14,22,4,3,3,1,20100405,0,regular
ANA201004050,weavj003,ANA,18,25,3,2,6,1,20100405,0,regular
ARI201004050,garlj001,SDN,12,21,2,2,4,1,20100405,0,regular
ARI201004050,hared001,ARI,21,24,1,0,4,1,20100405,0,regular
ATL201004050,zambc001,CHN,4,13,8,2,1,1,20100405,0,regular
ATL201004050,lowed001,ATL,18,24,5,3,2,1,20100405,0,regular
CHA201004050,westj001,CLE,12,22,5,4,1,1,20100405,0,regular
CHA201004050,buehm001,CHA,21,24,0,1,3,1,20100405,0,regular
CIN201004050,carpc002,SLN,18,23,2,0,3,1,20100405,0,regular
CIN201004050,haraa001,CIN,15,24,3,2,2,1,20100405,0,regular
HOU201004050,linct001,SFN,21,25,0,0,7,1,20100405,0,regular
HOU201004050,oswar001,HOU,18,25,3,2,3,1,20100405,0,regular
KCA201004050,verlj001,DET,15,22,4,1,6,1,20100405,0,regular
KCA201004050,greiz001,KCA,18,25,1,1,4,1,20100405,0,regular
MIL201004050,jimeu001,COL,18,26,1,1,6,1,20100405,0,regular
MIL201004050,gally001,MIL,21,29,3,2,5,1,20100405,0,regular
NYN201004050,johnj009,FLO,15,24,4,4,3,1,20100405,0,regular
NYN201004050,santj003,NYN,18,24,1,2,5,1,20100405,0,regular
OAK201004050,hernf002,SEA,20,26,3,6,4,1,20100405,0,regular
OAK201004050,sheeb001,OAK,15,20,2,4,3,1,20100405,0,regular
PIT201004050,padiv001,LAN,13,24,7,3,2,1,20100405,0,regular
PIT201004050,dukez001,PIT,15,23,2,1,1,1,20100405,0,regular
TEX201004050,marcs001,TOR,21,25,3,1,6,1,20100405,0,regular
TEX201004050,felds001,TEX,21,26,3,0,3,1,20100405,0,regular
WAS201004050,hallr001,PHI,21,27,1,2,9,1,20100405,0,regular
WAS201004050,lannj001,WAS,11,21,5,3,0,1,20100405,0,regular
ANA201004060,blacn001,MIN,20,30,3,4,4,1,20100406,0,regular
ANA201004060,saunj001,ANA,15,24,5,2,4,1,20100406,0,regular
ARI201004060,younc003,SDN,18,23,0,3,5,1,20100406,0,regular
ARI201004060,jacke001,ARI,15,21,3,1,5,1,20100406,0,regular
BOS201004060,burna001,NYA,15,23,3,1,5,1,20100406,0,regular
BOS201004060,lestj001,BOS,15,24,4,3,4,1,20100406,0,regular
HOU201004060,zitob001,SFN,18,22,0,1,5,1,20100406,0,regular
HOU201004060,rodrw002,HOU,18,27,3,4,4,1,20100406,0,regular
MIL201004060,smitg002,COL,15,20,5,2,5,1,20100406,0,regular
MIL201004060,wolfr001,MIL,20,29,4,0,8,1,20100406,0,regular
OAK201004060,sneli001,SEA,18,25,1,2,4,1,20100406,0,regular
OAK201004060,bradd002,OAK,21,25,1,1,10,1,20100406,0,regular
TBA201004060,millk004,BAL,15,24,2,1,5,1,20100406,0,regular
TBA201004060,shiej002,TBA,18,29,3,2,6,1,20100406,0,regular
ANA201004070,pavac001,MIN,21,28,1,0,6,1,20100407,0,regular
ANA201004070,sante001,ANA,18,25,4,1,4,1,20100407,0,regular
ARI201004070,corrk001,SDN,18,25,4,0,6,1,20100407,0,regular
ARI201004070,kenni001,ARI,15,22,3,0,8,1,20100407,0,regular
ATL201004070,dempr002,CHN,18,24,1,2,9,1,20100407,0,regular
ATL201004070,jurrj001,ATL,15,20,0,2,2,1,20100407,0,regular
BOS201004070,petta001,NYA,18,26,1,3,4,1,20100407,0,regular
BOS201004070,lackj001,BOS,18,22,0,2,3,1,20100407,0,regular
CHA201004070,carmf001,CLE,18,24,3,6,1,1,20100407,0,regular
CHA201004070,peavj001,CHA,15,26,3,2,5,1,20100407,0,regular
CIN201004070,waina001,SLN,21,25,2,2,6,1,20100407,0,regular
CIN201004070,cuetj001,CIN,18,27,2,3,3,1,20100407,0,regular
HOU201004070,cainm001,SFN,20,27,3,0,5,1,20100407,0,regular
HOU201004070,myerb001,HOU,18,29,4,1,3,1,20100407,0,regular
KCA201004070,schem001,DET,18,22,0,2,3,1,20100407,0,regular
KCA201004070,hochl001,KCA,23,27,0,1,2,1,20100407,0,regular
MIL201004070,cooka002,COL,16,25,4,1,5,1,20100407,0,regular
MIL201004070,david002,MIL,12,20,4,3,4,1,20100407,0,regular
NYN201004070,nolar001,FLO,20,26,3,3,5,1,20100407,0,regular
NYN201004070,mainj001,NYN,15,24,4,1,3,1,20100407,0,regular
OAK201004070,rowlr002,SEA,15,25,3,1,1,1,20100407,0,regular
OAK201004070,duchj001,OAK,17,25,5,2,4,1,20100407,0,regular
PIT201004070,kersc001,LAN,14,25,3,6,4,1,20100407,0,regular
PIT201004070,ohler001,PIT,15,23,2,3,1,1,20100407,0,regular
TBA201004070,guthj001,BAL,19,28,3,2,6,1,20100407,0,regular
TBA201004070,garzm001,TBA,24,32,1,2,9,1,20100407,0,regular
