gid,team,b_r,p_r,date,number,vishome,opp,win,loss,tie,gametype
BOS201004040,NYA,7,9,20100404,0,v,BOS,0,1,0,regular
BOS201004040,BOS,9,7,20100404,0,h,NYA,1,0,0,regular
ANA201004050,MIN,3,6,20100405,0,v,ANA,0,1,0,regular
ANA201004050,ANA,6,3,20100405,0,h,MIN,1,0,0,regular
ARI201004050,SDN,3,6,20100405,0,v,ARI,0,1,0,regular
ARI201004050,ARI,6,3,20100405,0,h,SDN,1,0,0,regular
ATL201004050,CHN,5,16,20100405,0,v,ATL,0,1,0,regular
ATL201004050,ATL,16,5,20100405,0,h,CHN,1,0,0,regular
CHA201004050,CLE,0,6,20100405,0,v,CHA,0,1,0,regular
CHA201004050,CHA,6,0,20100405,0,h,CLE,1,0,0,regular
CIN201004050,SLN,11,6,20100405,0,v,CIN,1,0,0,regular
CIN201004050,CIN,6,11,20100405,0,h,SLN,0,1,0,regular
HOU201004050,SFN,5,2,20100405,0,v,HOU,1,0,0,regular
HOU201004050,HOU,2,5,20100405,0,h,SFN,0,1,0,regular
KCA201004050,DET,8,4,20100405,0,v,KCA,1,0,0,regular
KCA201004050,KCA,4,8,20100405,0,h,DET,0,1,0,regular
MIL201004050,COL,5,3,20100405,0,v,MIL,1,0,0,regular
MIL201004050,MIL,3,5,20100405,0,h,COL,0,1,0,regular
NYN201004050,FLO,1,7,20100405,0,v,NYN,0,1,0,regular
NYN201004050,NYN,7,1,20100405,0,h,FLO,1,0,0,regular
OAK201004050,SEA,5,3,20100405,0,v,OAK,1,0,0,regular
OAK201004050,OAK,3,5,20100405,0,h,SEA,0,1,0,regular
PIT201004050,LAN,5,11,20100405,0,v,PIT,0,1,0,regular
PIT201004050,PIT,11,5,20100405,0,h,LAN,1,0,0,regular
TEX201004050,TOR,4,5,20100405,0,v,TEX,0,1,0,regular
TEX201004050,TEX,5,4,20100405,0,h,TOR,1,0,0,regular
WAS201004050,PHI,11,1,20100405,0,v,WAS,1,0,0,regular
WAS201004050,WAS,1,11,20100405,0,h,PHI,0,1,0,regular
ANA201004060,MIN,5,3,20100406,0,v,ANA,1,0,0,regular
ANA201004060,ANA,3,5,20100406,0,h,MIN,0,1,0,regular
ARI201004060,SDN,6,3,20100406,0,v,ARI,1,0,0,regular
ARI201004060,ARI,3,6,20100406,0,h,SDN,0,1,0,regular
BOS201004060,NYA,6,4,20100406,0,v,BOS,1,0,0,regular
BOS201004060,BOS,4,6,20100406,0,h,NYA,0,1,0,regular
HOU201004060,SFN,3,0,20100406,0,v,HOU,1,0,0,regular
HOU201004060,HOU,0,3,20100406,0,h,SFN,0,1,0,regular
MIL201004060,COL,5,7,20100406,0,v,MIL,0,1,0,regular
MIL201004060,MIL,7,5,20100406,0,h,COL,1,0,0,regular
OAK201004060,SEA,1,2,20100406,0,v,OAK,0,1,0,regular
OAK201004060,OAK,2,1,20100406,0,h,SEA,1,0,0,regular
TBA201004060,BAL,3,4,20100406,0,v,TBA,0,1,0,regular
TBA201004060,TBA,4,3,20100406,0,h,BAL,1,0,0,regular
ANA201004070,MIN,4,2,20100407,0,v,ANA,1,0,0,regular
ANA201004070,ANA,2,4,20100407,0,h,MIN,0,1,0,regular
ARI201004070,SDN,3,5,20100407,0,v,ARI,0,1,0,regular
ARI201004070,ARI,5,3,20100407,0,h,SDN,1,0,0,regular
ATL201004070,CHN,2,3,20100407,0,v,ATL,0,1,0,regular
ATL201004070,ATL,3,2,20100407,0,h,CHN,1,0,0,regular
BOS201004070,NYA,3,1,20100407,0,v,BOS,1,0,0,regular
BOS201004070,BOS,1,3,20100407,0,h,NYA,0,1,0,regular
CHA201004070,CLE,5,3,20100407,0,v,CHA,1,0,0,regular
CHA201004070,CHA,3,5,20100407,0,h,CLE,0,1,0,regular
CIN201004070,SLN,6,3,20100407,0,v,CIN,1,0,0,regular
CIN201004070,CIN,3,6,20100407,0,h,SLN,0,1,0,regular
HOU201004070,SFN,10,4,20100407,0,v,HOU,1,0,0,regular
HOU201004070,HOU,4,10,20100407,0,h,SFN,0,1,0,regular
KCA201004070,DET,2,3,20100407,0,v,KCA,0,1,0,regular
KCA201004070,KCA,3,2,20100407,0,h,DET,1,0,0,regular
MIL201004070,COL,4,5,20100407,0,v,MIL,0,1,0,regular
MIL201004070,MIL,5,4,20100407,0,h,COL,1,0,0,regular
NYN201004070,FLO,7,6,20100407,0,v,NYN,1,0,0,regular
NYN201004070,NYN,6,7,20100407,0,h,FLO,0,1,0,regular
OAK201004070,SEA,5,6,20100407,0,v,OAK,0,1,0,regular
OAK201004070,OAK,6,5,20100407,0,h,SEA,1,0,0,regular
PIT201004070,LAN,3,4,20100407,0,v,PIT,0,1,0,regular
PIT201004070,PIT,4,3,20100407,0,h,LAN,1,0,0,regular
TBA201004070,BAL,3,4,20100407,0,v,TBA,0,1,0,regular
TBA201004070,TBA,4,3,20100407,0,h,BAL,1,0,0,regular
TEX201004070,TOR,7,4,20100407,0,v,TEX,1,0,0,regular
TEX201004070,TEX,4,7,20100407,0,h,TOR,0,1,0,regular
WAS201004070,PHI,8,4,20100407,0,v,WAS,1,0,0,regular
WAS201004070,WAS,4,8,20100407,0,h,PHI,0,1,0,regular
ANA201004080,MIN,10,1,20100408,0,v,ANA,1,0,0,regular
ANA201004080,ANA,1,10,20100408,0,h,MIN,0,1,0,regular
ATL201004080,CHN,2,0,20100408,0,v,ATL,1,0,0,regular
ATL201004080,ATL,0,2,20100408,0,h,CHN,0,1,0,regular
CHA201004080,CLE,5,3,20100408,0,v,CHA,1,0,0,regular
CHA201004080,CHA,3,5,20100408,0,h,CLE,0,1,0,regular
CIN201004080,SLN,1,2,20100408,0,v,CIN,0,1,0,regular
CIN201004080,CIN,2,1,20100408,0,h,SLN,1,0,0,regular
KCA201004080,DET,7,3,20100408,0,v,KCA,1,0,0,regular
KCA201004080,KCA,3,7,20100408,0,h,DET,0,1,0,regular
NYN201004080,FLO,3,1,20100408,0,v,NYN,1,0,0,regular
NYN201004080,NYN,1,3,20100408,0,h,FLO,0,1,0,regular
OAK201004080,SEA,2,6,20100408,0,v,OAK,0,1,0,regular
OAK201004080,OAK,6,2,20100408,0,h,SEA,1,0,0,regular
PIT201004080,LAN,10,2,20100408,0,v,PIT,1,0,0,regular
PIT201004080,PIT,2,10,20100408,0,h,LAN,0,1,0,regular
TBA201004080,BAL,5,4,20100408,0,v,TBA,1,0,0,regular
TBA201004080,TBA,4,5,20100408,0,h,BAL,0,1,0,regular
TEX201004080,TOR,3,1,20100408,0,v,TEX,1,0,0,regular
TEX201004080,TEX,1,3,20100408,0,h,TOR,0,1,0,regular
WAS201004080,PHI,5,6,20100408,0,v,WAS,0,1,0,regular
WAS201004080,WAS,6,5,20100408,0,h,PHI,1,0,0,regular
ANA201004090,OAK,10,4,20100409,0,v,ANA,1,0,0,regular
ANA201004090,ANA,4,10,20100409,0,h,OAK,0,1,0,regular
ARI201004090,PIT,1,9,20100409,0,v,ARI,0,1,0,regular
ARI201004090,ARI,9,1,20100409,0,h,PIT,1,0,0,regular
BAL201004090,TOR,7,6,20100409,0,v,BAL,1,0,0,regular
BAL201004090,BAL,6,7,20100409,0,h,TOR,0,1,0,regular
CHA201004090,MIN,4,3,20100409,0,v,CHA,1,0,0,regular
CHA201004090,CHA,3,4,20100409,0,h,MIN,0,1,0,regular
CIN201004090,CHN,4,5,20100409,0,v,CIN,0,1,0,regular
CIN201004090,CIN,5,4,20100409,0,h,CHN,1,0,0,regular
COL201004090,SDN,0,7,20100409,0,v,COL,0,1,0,regular
COL201004090,COL,7,0,20100409,0,h,SDN,1,0,0,regular
DET201004090,CLE,2,5,20100409,0,v,DET,0,1,0,regular
DET201004090,DET,5,2,20100409,0,h,CLE,1,0,0,regular
FLO201004090,LAN,7,3,20100409,0,v,FLO,1,0,0,regular
FLO201004090,FLO,3,7,20100409,0,h,LAN,0,1,0,regular
HOU201004090,PHI,8,0,20100409,0,v,HOU,1,0,0,regular
HOU201004090,HOU,0,8,20100409,0,h,PHI,0,1,0,regular
KCA201004090,BOS,3,4,20100409,0,v,KCA,0,1,0,regular
KCA201004090,KCA,4,3,20100409,0,h,BOS,1,0,0,regular
MIL201004090,SLN,5,4,20100409,0,v,MIL,1,0,0,regular
MIL201004090,MIL,4,5,20100409,0,h,SLN,0,1,0,regular
NYN201004090,WAS,2,8,20100409,0,v,NYN,0,1,0,regular
NYN201004090,NYN,8,2,20100409,0,h,WAS,1,0,0,regular
SFN201004090,ATL,4,5,20100409,0,v,SFN,0,1,0,regular
SFN201004090,SFN,5,4,20100409,0,h,ATL,1,0,0,regular
