event_id,date_utc,fetch_date,season_type,home_team,away_team,home_points,away_points,played,status_detail
401704627,2024-10-22T23:30Z,2024-10-22,2,Boston Celtics,New York Knicks,132,109,True,Final
401704628,2024-10-23T02:00Z,2024-10-22,2,Los Angeles Lakers,Minnesota Timberwolves,110,103,True,Final
401704629,2024-10-23T23:00Z,2024-10-23,2,Detroit Pistons,Indiana Pacers,109,115,True,Final
401704630,2024-10-23T23:30Z,2024-10-23,2,Atlanta Hawks,Brooklyn Nets,120,116,True,Final
401704631,2024-10-23T23:30Z,2024-10-23,2,Miami Heat,Orlando Magic,97,116,True,Final
401704632,2024-10-23T23:30Z,2024-10-23,2,Philadelphia 76ers,Milwaukee Bucks,109,124,True,Final
401704633,2024-10-23T23:30Z,2024-10-23,2,Toronto Raptors,Cleveland Cavaliers,106,136,True,Final
401704634,2024-10-24T00:00Z,2024-10-23,2,Houston Rockets,Charlotte Hornets,105,110,True,Final
401704635,2024-10-24T00:00Z,2024-10-23,2,New Orleans Pelicans,Chicago Bulls,123,111,True,Final
401704636,2024-10-24T01:00Z,2024-10-23,2,Utah Jazz,Memphis Grizzlies,124,126,True,Final
401704637,2024-10-24T02:00Z,2024-10-23,2,LA Clippers,Phoenix Suns,113,116,True,Final/OT
401704638,2024-10-24T02:00Z,2024-10-23,2,Portland Trail Blazers,Golden State Warriors,104,140,True,Final
401704639,2024-10-24T23:00Z,2024-10-24,2,Washington Wizards,Boston Celtics,102,122,True,Final
401704640,2024-10-24T23:30Z,2024-10-24,2,Dallas Mavericks,San Antonio Spurs,120,109,True,Final
401704641,2024-10-25T02:00Z,2024-10-24,2,Denver Nuggets,Oklahoma City Thunder,87,102,True,Final
401704642,2024-10-25T02:00Z,2024-10-24,2,Sacramento Kings,Minnesota Timberwolves,115,117,True,Final
401704643,2024-10-25T23:00Z,2024-10-25,2,Orlando Magic,Brooklyn Nets,116,101,True,Final
401704644,2024-10-25T23:00Z,2024-10-25,2,Toronto Raptors,Philadelphia 76ers,115,107,True,Final
401704645,2024-10-25T23:30Z,2024-10-25,2,Atlanta Hawks,Charlotte Hornets,125,120,True,Final
401704646,2024-10-25T23:30Z,2024-10-25,2,Cleveland Cavaliers,Detroit Pistons,113,101,True,Final
401704647,2024-10-25T23:30Z,2024-10-25,2,New York Knicks,Indiana Pacers,123,98,True,Final
401704648,2024-10-26T00:00Z,2024-10-25,2,Houston Rockets,Memphis Grizzlies,128,108,True,Final
401704649,2024-10-26T00:00Z,2024-10-25,2,Milwaukee Bucks,Chicago Bulls,122,133,True,Final
401704650,2024-10-26T01:30Z,2024-10-25,2,Utah Jazz,Golden State Warriors,86,127,True,Final
